from,to,cost
32,43,2016.1783652519894
43,32,2016.1783652519894
32,36,3386.928136944686
36,32,3386.928136944686
32,41,3183.5671889533087
41,32,3183.5671889533087
32,1,3665.9727396362337
1,32,3665.9727396362337
32,202202,4086.3584727847187
202202,32,4086.3584727847187
30,15,1565.509789871464
15,30,1565.509789871464
30,16,1958.0531060337353
16,30,1958.0531060337353
30,12,3546.9840540321784
12,30,3546.9840540321784
30,6,1121.5837204750499
6,30,1121.5837204750499
30,44,2324.0742869152755
44,30,2324.0742869152755
30,35,2171.214567777413
35,30,2171.214567777413
30,11,2714.5467526178013
11,30,2714.5467526178013
30,43,964.9697022908432
43,30,964.9697022908432
30,36,2225.850947396891
36,30,2225.850947396891
30,41,1973.6040545219719
41,30,1973.6040545219719
30,1,2449.296470400987
1,30,2449.296470400987
30,202202,2872.597154261376
202202,30,2872.597154261376
15,16,1107.005890751824
16,15,1107.005890751824
15,12,3903.7447774530447
12,15,3903.7447774530447
15,6,1337.828443052776
6,15,1337.828443052776
15,44,3026.4268111163856
44,15,3026.4268111163856
15,35,2233.8533578629176
35,15,2233.8533578629176
15,11,3207.2706962871216
11,15,3207.2706962871216
15,43,1999.6014277216548
43,15,1999.6014277216548
15,36,2453.8785373654914
36,15,2453.8785373654914
15,41,1383.5587776639798
41,15,1383.5587776639798
15,1,1806.9934996398767
1,15,1806.9934996398767
15,202202,2617.773549258388
202202,15,2617.773549258388
16,12,2964.0305751634864
12,16,2964.0305751634864
16,6,1016.7119377603278
6,16,1016.7119377603278
16,44,2351.1423301996656
44,16,2351.1423301996656
16,35,1324.2182001443516
35,16,1324.2182001443516
16,11,2385.375084323079
11,16,2385.375084323079
16,43,1819.9000529398527
43,16,1819.9000529398527
16,36,1592.2337271443416
36,16,1592.2337271443416
16,41,335.9033998586076
41,16,335.9033998586076
16,1,700.0169450779423
1,16,700.0169450779423
16,202202,1539.5194732802415
202202,16,1539.5194732802415
12,6,2694.0503269020023
6,12,2694.0503269020023
12,44,1308.1375051520702
44,12,1308.1375051520702
12,35,1672.3590095358204
35,12,1672.3590095358204
12,11,840.0248316103365
11,12,840.0248316103365
12,43,2604.9722149941076
43,12,2604.9722149941076
12,36,1456.3557175862447
36,12,1456.3557175862447
12,41,2628.3726369909214
41,12,2628.3726369909214
12,1,2449.275051832763
1,12,2449.275051832763
12,202202,1606.8806568340974
202202,12,1606.8806568340974
6,44,1695.863935798248
44,6,1695.863935798248
6,35,1120.7718145093893
35,6,1120.7718145093893
6,11,1928.1149000753226
11,6,1928.1149000753226
6,43,809.7873225970786
43,6,809.7873225970786
6,36,1253.9322436755697
36,6,1253.9322436755697
6,41,913.349722278509
41,6,913.349722278509
6,1,1355.2871573344432
1,6,1355.2871573344432
6,202202,1767.871945179721
202202,6,1767.871945179721
44,35,1135.4679710769033
35,44,1135.4679710769033
44,11,501.91621466236916
11,44,501.91621466236916
44,43,1359.61411177005
43,44,1359.61411177005
44,36,865.7686476946274
36,44,865.7686476946274
44,41,2046.750185728799
41,44,2046.750185728799
44,1,2128.555518401345
1,44,2128.555518401345
44,202202,1675.965073801041
202202,44,1675.965073801041
35,11,1067.1574064645897
11,35,1067.1574064645897
35,43,1425.578114440066
43,35,1425.578114440066
35,36,281.6679937007013
36,35,281.6679937007013
35,41,992.1002789986015
41,35,992.1002789986015
35,1,993.8464889972039
1,35,993.8464889972039
35,202202,759.4393835153777
202202,35,759.4393835153777
11,43,1766.4178433607767
43,11,1766.4178433607767
11,36,793.178288001421
36,11,793.178288001421
11,41,2056.755838583489
41,11,2056.755838583489
11,1,2019.5362405447743
1,11,2019.5362405447743
11,202202,1383.4820893484296
202202,11,1383.4820893484296
43,36,1392.0895785817927
36,43,1392.0895785817927
43,41,1668.8334927247656
41,43,1668.8334927247656
43,1,2042.6616499772667
1,43,2042.6616499772667
43,202202,2182.233524077499
202202,43,2182.233524077499
36,41,1263.934824679051
41,36,1263.934824679051
36,1,1271.0953398571878
1,36,1271.0953398571878
36,202202,890.1121249794637
202202,36,890.1121249794637
41,1,492.0996329682689
1,41,492.0996329682689
41,202202,1234.8001904688576
202202,41,1234.8001904688576
1,202202,898.913891390885
202202,1,898.913891390885
63,63,0.0
59,59,0.0
62,62,0.0
57,57,0.0
56,56,0.0
54,54,0.0
45,45,0.0
32,32,0.0
30,30,0.0
15,15,0.0
16,16,0.0
12,12,0.0
6,6,0.0
44,44,0.0
35,35,0.0
11,11,0.0
43,43,0.0
36,36,0.0
41,41,0.0
1,1,0.0
202202,202202,0.0
